,Edad,Experiencia,Accesibilidad,Toma de decisiones financieras,Competición,Gestión financiera personal
,25 - 31 años,4,5,Tomo decisiones financieras de manera independiente.,3,4
,25 - 31 años,4,4,Depende de la situación o la decisión financiera específica.,3,4
,18 - 24 años,4,4,Tomo decisiones financieras de manera independiente.,4,4
,18 - 24 años,4,4,Depende de la situación o la decisión financiera específica.,3,4
,32 - 38 años,4,4,Depende de la situación o la decisión financiera específica.,4,4
,32 - 38 años,4,4,Tomo decisiones financieras de manera independiente.,3,4
,18 - 24 años,4,4,No estoy seguro/a.,4,4
,25 - 31 años,4,4,Depende de la situación o la decisión financiera específica.,3,3
,18 - 24 años,3,4,No estoy seguro/a.,4,4
,25 - 31 años,5,5,Tomo decisiones financieras de manera independiente.,4,3
,39 - 45 años,5,4,Tomo decisiones financieras de manera independiente.,4,4
,18 - 24 años,5,4,No estoy seguro/a.,4,4
,25 - 31 años,5,5,Depende de la situación o la decisión financiera específica.,3,3
,25 - 31 años,4,4,Prefiero involucrarme en acuerdos financieros compartidos o colaborativos.,4,4
,39 - 45 años,5,5,Tomo decisiones financieras de manera independiente.,3,3
,18 - 24 años,5,5,Depende de la situación o la decisión financiera específica.,4,4
,25 - 31 años,4,4,Depende de la situación o la decisión financiera específica.,3,4
,25 - 31 años,5,5,Tomo decisiones financieras de manera independiente.,4,3
,25 - 31 años,4,4,Tomo decisiones financieras de manera independiente.,3,3
,18 - 24 años,5,5,Depende de la situación o la decisión financiera específica.,3,3
,25 - 31 años,5,5,Tomo decisiones financieras de manera independiente.,4,3
,18 - 24 años,4,5,Tomo decisiones financieras de manera independiente.,4,3
,18 - 24 años,4,4,No estoy seguro/a.,4,4
,18 - 24 años,5,5,Tomo decisiones financieras de manera independiente.,4,4
,18 - 24 años,5,4,Tomo decisiones financieras de manera independiente.,4,5
,25 - 31 años,5,5,Depende de la situación o la decisión financiera específica.,4,4
,25 - 31 años,5,4,Tomo decisiones financieras de manera independiente.,3,3
,39 - 45 años,5,5,Tomo decisiones financieras de manera independiente.,3,3
,25 - 31 años,4,4,Depende de la situación o la decisión financiera específica.,3,4
,18 - 24 años,4,4,Depende de la situación o la decisión financiera específica.,4,4
,18 - 24 años,5,5,No estoy seguro/a.,4,4
,18 - 24 años,5,5,Depende de la situación o la decisión financiera específica.,3,3
,18 - 24 años,5,4,Tomo decisiones financieras de manera independiente.,4,4
